tanggal,TAVG,RH_AVG,RR,FF_AVG,sumber_file
2024-11-22,26.7,88.0,15.8,2.0,bmkg_2024_11.xlsx
2024-11-23,26.8,85.0,6.6,2.0,bmkg_2024_11.xlsx
2024-11-24,26.6,88.0,3.7,2.0,bmkg_2024_11.xlsx
2024-11-25,27.2,84.0,11.5,2.0,bmkg_2024_11.xlsx
2024-11-26,27.5,81.0,0.7,1.0,bmkg_2024_11.xlsx
2024-11-27,25.3,93.0,44.3,2.0,bmkg_2024_11.xlsx
2024-11-28,26.2,86.0,72.1,2.0,bmkg_2024_11.xlsx
2024-11-29,26.9,81.0,0.5,2.0,bmkg_2024_11.xlsx
2024-11-30,27.6,79.0,0.0,2.0,bmkg_2024_11.xlsx
2024-12-01,28.1,77.0,1.2,3.0,bmkg_2024_11.xlsx
2024-12-02,26.4,86.0,0.8,3.0,bmkg_2024_11.xlsx
2024-12-03,26.0,85.0,15.8,2.0,bmkg_2024_11.xlsx
2024-12-04,25.0,91.0,1.5,1.0,bmkg_2024_11.xlsx
2024-12-05,25.1,90.0,3.9,4.0,bmkg_2024_11.xlsx
2024-12-06,25.5,91.0,11.7,1.0,bmkg_2024_11.xlsx
2024-12-07,26.9,88.0,0.1,1.0,bmkg_2024_11.xlsx
2024-12-08,27.0,86.0,8.7,2.0,bmkg_2024_12.xlsx
2024-12-09,24.8,96.0,2.2,1.0,bmkg_2024_12.xlsx
2024-12-10,25.5,88.0,26.1,2.0,bmkg_2024_12.xlsx
2024-12-11,27.1,77.0,27.7,5.0,bmkg_2024_12.xlsx
2024-12-12,27.4,72.0,10.7,7.0,bmkg_2024_12.xlsx
2024-12-13,28.0,73.0,9.399999999999999,6.0,bmkg_2024_12.xlsx
2024-12-14,25.7,87.0,8.1,4.0,bmkg_2024_12.xlsx
2024-12-15,25.8,84.0,4.3,4.0,bmkg_2024_12.xlsx
2024-12-16,24.8,94.0,0.5,2.0,bmkg_2024_12.xlsx
2024-12-17,26.8,84.0,20.0,3.0,bmkg_2024_12.xlsx
2024-12-18,25.5,90.0,0.0,3.0,bmkg_2024_12.xlsx
2024-12-19,24.9,91.0,5.3,4.0,bmkg_2024_12.xlsx
2024-12-20,25.2,91.0,18.1,3.0,bmkg_2024_12.xlsx
2024-12-21,26.4,88.0,14.8,2.0,bmkg_2024_12.xlsx
2024-12-22,25.6,93.0,10.9,1.0,bmkg_2024_12.xlsx
2024-12-23,25.7,89.0,13.5,1.0,bmkg_2024_12.xlsx
2024-12-24,25.5,88.0,9.9,2.0,bmkg_2024_12.xlsx
2024-12-25,25.8,90.0,1.1,2.0,bmkg_2024_12.xlsx
2024-12-26,26.6,81.0,14.0,2.0,bmkg_2024_12.xlsx
2024-12-27,26.4,84.0,0.0,2.0,bmkg_2024_12.xlsx
2024-12-28,27.4,77.0,0.0,2.0,bmkg_2024_12.xlsx
