tanggal,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max
2019-12-17,29.8,23.0,20.4,8.9,99
2019-12-18,31.5,23.1,7.9,5.5,100
2019-12-19,30.5,23.1,1.6,7.4,97
2019-12-20,30.5,23.0,2.1,10.5,95
2019-12-21,30.8,23.9,8.5,6.9,97
2019-12-22,30.4,22.7,5.5,8.6,100
2019-12-23,30.8,22.6,0.7,8.7,100
2019-12-24,31.5,23.2,8.9,13.0,96
2019-12-25,28.4,23.6,10.9,10.0,97
2019-12-26,30.5,24.0,11.1,6.6,98
2019-12-27,31.1,23.2,21.3,9.2,99
2019-12-28,28.9,23.2,7.7,10.5,99
2019-12-29,29.1,23.4,5.9,7.9,98
2019-12-30,31.2,23.1,11.4,10.4,99
2019-12-31,29.1,23.5,49.4,10.0,98
2020-01-01,27.0,23.0,16.6,8.0,98
2020-01-02,29.5,23.1,8.9,15.5,99
2020-01-03,29.3,22.8,4.4,14.7,96
2020-01-04,29.0,22.8,10.8,14.3,98
2020-01-05,27.0,23.4,11.2,17.5,96
2020-01-06,28.4,23.0,15.8,14.1,98
2020-01-07,29.6,23.0,4.3,19.6,97
2020-01-08,28.5,22.5,26.9,10.8,99
2020-01-09,26.5,23.2,24.0,10.0,98
2020-01-10,26.0,23.2,42.2,11.6,97
2020-01-11,27.0,23.6,5.5,18.4,93
2020-01-12,29.7,23.0,1.2,19.4,95
2020-01-13,29.8,22.9,2.6,17.6,98
2020-01-14,30.4,23.4,4.5,11.5,97
2020-01-15,28.6,23.5,5.4,7.3,99
2020-01-16,30.6,22.9,11.2,10.5,99
2020-01-17,30.5,22.5,14.5,10.8,98
2020-01-18,28.9,23.0,7.8,12.7,98
2020-01-19,31.2,23.0,9.4,11.9,97
2020-01-20,30.9,23.8,60.7,13.4,97
2020-01-21,29.5,23.0,21.5,9.5,98
2020-01-22,30.1,23.3,7.0,8.4,97
2020-01-23,30.0,24.1,13.3,10.2,98
2020-01-24,28.2,23.8,22.0,8.5,98
2020-01-25,27.5,23.5,20.3,11.3,100
2020-01-26,29.9,23.1,16.4,8.6,97
2020-01-27,29.9,23.2,21.0,12.3,99
2020-01-28,30.5,23.4,17.2,14.3,99
2020-01-29,31.2,23.1,18.0,13.6,97
2020-01-30,30.1,23.2,4.9,12.6,96
2020-01-31,28.0,23.0,13.7,8.9,97
2020-02-01,29.0,23.2,24.0,14.5,99
2020-02-02,28.9,23.1,9.6,9.5,99
2020-02-03,28.5,22.7,15.8,10.2,97
2020-02-04,28.5,23.3,16.0,8.2,97
2020-02-05,29.0,22.9,11.5,10.2,98
2020-02-06,28.0,23.4,8.4,9.6,99
2020-02-07,29.4,22.5,23.9,15.1,99
2020-02-08,27.9,23.7,10.0,8.0,97
2020-02-09,28.5,23.5,2.8,16.8,94
2020-02-10,31.4,22.6,3.4,9.7,97
2020-02-11,30.2,23.1,6.6,9.3,99
2020-02-12,31.5,23.2,6.2,8.5,97
2020-02-13,29.0,23.7,17.1,11.5,96
2020-02-14,28.8,23.8,20.1,10.9,99
2020-02-15,30.6,23.7,14.2,9.4,98
2020-02-16,29.9,23.2,27.9,10.7,100
2020-02-17,29.8,23.1,10.3,10.9,99
2020-02-18,29.6,23.5,11.7,16.4,100
2020-02-19,28.3,22.8,10.2,12.9,99
2020-02-20,28.5,23.2,15.6,13.0,97
2020-02-21,30.2,22.8,5.5,14.0,97
2020-02-22,30.2,23.4,13.0,14.2,97
2020-02-23,28.7,24.1,28.5,16.8,97
2020-02-24,28.2,24.0,31.1,16.8,97
2020-02-25,27.6,23.9,17.5,9.0,98
2020-02-26,29.0,22.9,22.2,11.6,95
2020-02-27,28.5,23.3,16.3,9.4,97
